id,Location,Type,Count
HBab9,Bambasi,9,3
HBab21,Bambasi,9,3
HBab37,Bambasi,9,3
LBab1,Bambasi,9,0
LBab30,Bambasi,9,3
HBab13,Bambasi,9,0
HBab15,Bambasi,9,0
HBab17,Bambasi,9,0
HBab79,Bambasi,9,3
HBab95,Bambasi,9,0
HBab100,Bambasi,9,3
HBab118,Bambasi,9,3
LBab98,Bambasi,9,3
HKum9,Kurmuk,9,0
HAss14,Asosa,10,11
HAss42,Asosa,10,0
HKum11,Kurmuk,10,11
HShr118,Sherkole,10,11
HShr122,Sherkole,10,11
HShr17,Sherkole,10,11
HShr49,Sherkole,10,11
